"VA Community Based Outpatient Clinics (CBOCs), FY2013",,,,,,
VISN,Station Number,Official Station Name,Location/City,State,FY13 Unique Patients,FY13 Clinic Encounters
15,589GE,Kirksville,Kirksville,MO,"2,325","8,634"
15,589GF,Ft Leonard Wood MO,Waynesville,MO,"3,561","20,129"
15,589GH,Lake of the Ozarks/Camdenton,Osage Beach,MO,"2,630","13,778"
15,589GI,St. Joseph,St. Joseph,MO,"2,629","10,509"
15,589GJ,Wyandotte County,Kansas City,KS,"1,522","7,026"
15,589GM,Chanute,Chanute,KS,345,951
15,589GN,Emporia,Emporia,KS,244,609
15,589GP,Garnett,Garnett,KS,172,412
15,589GR,Junction City,Junction City,KS,"2,225","6,822"
15,589GT,Seneca,Seneca,KS,115,145
15,589GU,Lawrence,Lawrence,KS,955,"2,823"
15,589GV,Ft. Scott (Bourbon County),Ft. Scott,KS,491,"1,638"
15,589GW,Salina,Salina,KS,"2,708","16,052"
15,589GX,Mexico,Mexico,MO,"1,988","7,681"
15,589GY,St. James,St. James,MO,"1,773","9,505"
15,589GZ,Cameron,Cameron,MO,"1,178","4,719"
15,589JA,Sedalia,Sedalia,MO,"1,367","6,599"
15,589JB,Excelsior Springs,Excelsior Springs,MO,"2,117","10,082"
15,657GA,Belleville,Belleville,IL,"2,813","11,988"
15,657GB,St. Louis CBOC,Florissant,MO,"3,098","10,835"
15,657GD,St. Charles County,O'Fallon,MO,"2,989","13,373"
15,657GF,West Plains,West Plains,MO,"3,012","14,203"
15,657GG,Paragould,Paragould,AR,"2,202","9,442"
15,657GH,Cape Girardeau,Cape Girardeau,MO,"4,966","17,863"
15,657GI,Farmington,Farmington,MO,"2,876","12,098"
15,657GJ,Evansville,Evansville,IN,"13,540","119,497"
15,657GK,Mt. Vernon,Mt. Vernon,IL,"2,502","11,062"
15,657GL,Paducah,Paducah,KY,"4,895","25,316"
15,657GM,Effingham,Effingham,IL,"2,872","12,559"
15,657GN,Salem,Salem,MO,138,276
15,657GO,Hanson (Hopkins County) KY,Hanson,KY,"1,055","3,102"
15,657GP,Owensboro,Owensboro,KY,"2,939","14,716"
15,657GQ,Vincennes,Vincennes,IN,"2,044","6,423"
15,657GR,Mayfield,Mayfield,KY,"2,301","9,249"
15,657GS,Washington,Washington,MO,914,"4,439"
15,657GT,Carbondale,Carbondale,IL,"2,134","5,709"
15,657GU,Harrisburg,Harrisburg,IL,"1,283","4,565"
15,657GV,Sikeston,Sikeston,MO,"2,385","7,643"
16,502GA,Jennings,Jennings,LA,"4,265","18,282"
16,502GB,Lafayette,Lafayette,LA,"7,629","39,005"
16,502GF,Fort Polk,Leesville,LA,"2,472","14,525"
16,502GG,Natchitoches,Natchitoches,LA,"1,236","10,037"
16,520BZ,Joint Ambulatory Care Center,Pensacola,FL,"30,660","263,948"
16,520GA,Mobile,Mobile,AL,"11,645","96,792"
16,520GB,Panama City,Panama City Beach,FL,"5,942","54,058"
16,520GC,Eglin AFB,Eglin AFB,FL,"7,084","55,310"
16,564BY,Gene Taylor,Mt. Vernon,MO,"16,240","166,244"
16,564GA,Harrison,Harrison,AR,"1,858","6,300"
16,564GB,Ft. Smith,Fort Smith,AR,"10,131","99,080"
16,564GC,Branson,Branson,MO,"7,112","51,026"
16,564GD,Ozark,Ozark,AR,"1,067","5,072"
16,564GE,Jay,Jay,OK,"1,913","15,780"
16,580BY,Beaumont,Beaumont,TX,"10,707","109,236"
16,580BZ,Charles Wilson VA OPC,Lufkin,TX,"7,575","74,977"
16,580GC,Galveston County,Galveston,TX,"8,137","46,029"
16,580GD,Conroe,Conroe,TX,"9,240","47,564"
16,580GE,Katy,Katy,TX,"4,123","11,996"
16,580GF,Lake Jackson,Lake Jackson,TX,"2,655","16,099"
16,580GG,Richmond,Richmond,TX,"4,127","21,649"
16,580GH,Tomball,Tomball,TX,,
16,586GA,Durant (Kosciusko),Kosciusko,MS,"1,844","4,392"
16,586GB,Meridian,Meridian,MS,"3,229","10,098"
16,586GC,Greenville,Greenville,MS,"2,344","5,010"
16,586GD,Hattiesburg,Hattiesburg,MS,"5,020","15,596"
16,586GE,Natchez (Adams County),Natchez,MS,"1,463","4,322"
16,586GF,Columbus,Columbus,MS,"1,921","5,892"
16,586GG,McComb,McComb,MS,"2,360","7,541"
16,598GA,Mountain Home,Mountain Home,AR,"3,641","12,906"
16,598GB,Eldorado,Eldorado,AR,"1,846","6,303"
16,598GC,Hot Springs,Hot Springs,AR,"4,984","32,507"
16,598GD,Mena,Mena,AR,"1,667","4,684"
16,598GE,Pine Bluff,Pine Bluff,AR,"2,508","11,756"
16,598GF,Searcy,Searcy,AR,"2,985","21,119"
16,598GG,Conway,Conway,AR,"3,372","25,900"
16,598GH,Russellville,Russellville,AR,"2,270","19,553"
16,623BY,Tulsa,Tulsa,OK,"21,172","213,518"
16,623GA,Hartshorne,Hartshorne,OK,"2,048","11,859"
16,623GB,Vinita,Vinita,OK,"2,419","17,030"
16,629BY,Baton Rouge,Baton Rouge,LA,"12,054","116,724"
16,629GA,Houma,Houma,LA,"4,108","21,171"
16,629GB,Hammond,Hammond,LA,"3,593","22,693"
16,629GC,Slidell,Slidell,LA,"4,029","28,349"
16,629GD,St. Johns,Reserve,LA,"2,061","13,497"
16,629GE,Franklin,Franklin,LA,791,"4,158"
16,629GF,Bogalusa,Bogalusa,LA,"1,091","4,977"
16,635GA,Lawton,Ft. Sill,OK,"9,281","70,585"
16,635GB,Wichita Falls,Wichita Falls,TX,"3,217","14,276"
16,635GC,Blackwell,Blackwell,OK,644,"2,243"
16,635GD,Ada,Ada,OK,"1,288","3,934"
16,635GE,Stillwater,Stillwater,OK,"1,297","5,621"
16,635GF,Altus,Altus,OK,577,"1,856"
16,635GG,Enid,Enid,OK,981,"3,116"
16,635HA,Clinton,Clinton,OK,,
16,635HB,Ardmore,Ardmore,OK,"1,359","4,214"
16,667GA,Texarkana,Texarkana,AR,"4,757","24,851"
16,667GB,Monroe,Monroe,LA,"5,038","20,603"
16,667GC,Longview,Longview,TX,"5,802","23,884"
17,549A4,Bonham VAMC,Bonham,TX,"18,488","199,013"
17,549BY,Fort Worth Satellite,Fort Worth,TX,"39,933","384,355"
17,549GA,Tyler,Tyler,TX,"5,415","31,134"
17,549GB,Dallas County Primary Care Network,Dallas,TX,,
17,549GC,Bonham Area Primary Care Network,Paris,TX,7,17
17,549GD,Denton Area Primary Care Network,Denton,TX,"6,593","19,854"
17,549GE,Decatur Area Primary Care Network,Bridgeport,TX,"1,682","5,182"
17,549GF,Eastland Area Primary Care Network,Granbury,TX,"1,262","2,954"
17,549GH,Greenville Area PCN,Greenville,TX,"1,525","3,846"
17,549GI,Cleburne Area PCN,Waxahachie,TX,,
17,549GJ,Sherman,Sherman,TX,"3,710","16,574"
17,671BY,Frank M. Tejeda Satellite,San Antonio,TX,"25,914","128,419"
17,671GB,Victoria,Victoria,TX,"3,201","22,803"
17,671GC,Del Rio,Del Rio,TX,116,149
17,671GF,South Bexar County,San Antonio,TX,"4,962","22,494"
17,671GH,Beeville,Beeville,TX,376,"1,624"
17,671GJ,Uvalde,Uvalde,TX,49,54
17,671GK,San Antonio Area PCN,San Antonio,TX,"5,791","12,575"
17,671GL,New Braunfels (Comal County),New Braunfels,TX,"1,588","3,253"
17,671GN,Seguin (Guadalupe County),Seguin,TX,554,"1,031"
17,671GO,San Antonio TX,San Antonio,TX,"11,742","42,537"
17,674BY,Austin Satellite,Austin,TX,"25,318","275,831"
17,674GA,Palestine,Palestine,TX,"3,408","22,033"
17,674GB,Brownwood,Brownwood,TX,"2,968","32,262"
17,674GC,College Station (Bryan),College Station,TX,"4,247","32,174"
17,674GD,Cedar Park,Cedar Park,TX,"6,449","38,029"
17,740,Texas Valley Coastal Bend - Harlingen HCS,Harlingen,TX,"18,518","105,987"
17,740GA,Harlingen OPC,Harlingen,TX,"10,134","64,371"
17,740GB,McAllen Satellite,McAllen,TX,"11,175","114,180"
17,740GC,Corpus Christi Satellite,Corpus Christi,TX,"10,334","95,656"
17,740GD,Laredo,Laredo,TX,"2,703","19,582"
17,740GE,Eagle Pass,Eagle Pass,TX,4,6
18,501G2,Las Vegas,Las Vegas,NM,"1,928","12,800"
18,501GA,Artesia,Artesia,NM,"1,997","11,605"
18,501GB,Farmington,Farmington,NM,"2,242","13,869"
18,501GC,Silver City,Silver City,NM,"1,479","10,463"
18,501GD,Gallup NM,Gallup,NM,"1,538","9,425"
18,501GE,Espanola,Espanola,NM,962,"6,114"
18,501GH,Truth or Consequences,Truth or Consequences,NM,712,"4,045"
18,501GI,Alamogordo,Alamogordo,NM,"1,597","6,481"
18,501GJ,Durango,Durango,CO,"1,911","7,953"
18,501GK,Santa Fe,Sante Fe,NM,"2,531","13,860"
18,501GM,Rio Rancho (Northwest Metro CBOC),Rio Rancho,NM,"3,102","15,359"
18,501HB,Raton,Raton,NM,996,"11,660"
18,504BY,Lubbock TX,Lubbock,TX,"9,890","100,335"
18,504BZ,Clovis,Clovis,NM,"1,699","11,148"
18,504GA,Childress,Childress,TX,441,"1,723"
18,504HB,Dalhart (formerly Stratford),Dalhart,TX,,
18,519GA,Odessa,Odessa,TX,"3,702","16,809"
18,519GB,Hobbs,Hobbs,NM,996,"6,502"
18,519GD,Fort Stockton,Fort Stockton,TX,227,554
18,519HC,Abilene,Abilene,TX,"4,839","30,513"
18,519HD,Stamford,Stamford,TX,118,280
18,519HF,San Angelo,San Angelo,TX,"2,569","17,696"
18,644BY,Mesa,Mesa,AZ,"14,143","64,010"
18,644GA,Sun City,Surprise,AZ,"8,519","42,413"
18,644GB,Show Low,Show Low,AZ,"2,290","12,843"
18,644GC,Southwest VA Health Care Clinic (formerly Buckeye),Buckeye,AZ,465,"1,677"
18,644GD,Payson (Gila County),Payson,AZ,675,"1,613"
18,644GE,Thunderbird,Phoenix,AZ,"7,140","22,923"
18,644GF,Globe,Globe,AZ,622,"3,265"
18,649GA,Kingman,Kingman,AZ,"3,285","15,774"
18,649GB,Flagstaff (formerly Bellemont),Flagstaff,AZ,"2,140","7,212"
18,649GC,Lake Havasu,Lake Havasu City,AZ,"2,972","13,100"
18,649GD,Anthem,Anthem,AZ,"1,584","4,922"
18,649GE,Cottonwood (Yavapai County),Cottonwood,AZ,"2,040","9,728"
18,678GA,Sierra Vista,Sierra Vista,AZ,"5,707","37,907"
18,678GB,Yuma,Yuma,AZ,"4,282","24,891"
18,678GC,Casa Grande,Casa Grande,AZ,"4,018","26,555"
18,678GD,Safford,Safford,AZ,930,"3,363"
18,678GE,Green Valley,Green Valley,AZ,"2,029","7,834"
18,678GF,NW Tucson Urban 1,Tucson,AZ,"6,230","37,357"
18,678GG,SE Tucson Urban 2,Tucson,AZ,"4,625","28,310"
18,756GA,Las Cruces,Las Cruces,NM,"3,529","18,942"
18,756GB,East El Paso (El Paso County),El Paso,TX,"4,260","15,057"
19,436GA,Anaconda,Anaconda,MT,"1,398","8,013"
19,436GB,Great Falls,Great Falls,MT,"4,296","22,441"
19,436GC,Missoula,Missoula,MT,"6,659","47,315"
19,436GD,Bozeman,Bozeman,MT,"2,991","11,208"
19,436GF,Kalispell,Kalispell,MT,"4,939","34,068"
19,436GH,Billings,Billings,MT,"29,046","169,797"
19,436GI,Glasgow,Glasgow,MT,455,"2,034"
19,436GJ,Miles City,Miles City,MT,"1,806","9,523"
19,436GK,Glendive Montana,Glendive,MT,840,"3,078"
19,436GL,Cut Bank,Cut Bank,MT,451,"2,609"
19,436GM,Lewistown,Lewistown,MT,597,"3,502"
19,442GB,Sidney,Sidney,NE,568,"4,459"
19,442GC,Fort Collins,Fort Collins,CO,"6,366","30,488"
19,442GD,Greeley,Greeley,CO,"4,733","33,689"
19,554GB,Aurora,Aurora,CO,"7,530","28,629"
19,554GC,Lakewood,Lakewood,CO,"4,834","14,215"
19,554GD,Pueblo,Pueblo,CO,"9,192","86,746"
19,554GE,Colorado Springs,Colorado Springs,CO,"20,415","150,612"
19,554GF,Alamosa,Alamosa,CO,"2,150","9,385"
19,554GG,La Junta,La Junta,CO,964,"5,199"
19,554GH,Lamar,Lamar,CO,376,"1,747"
19,554GI,Burlington,Burlington,CO,451,"2,351"
19,575GA,Montrose,Montrose,CO,"1,823","7,782"
19,660GA,Pocatello,Pocatello,ID,"5,116","30,211"
19,660GB,Ogden,South Ogden,UT,"5,243","28,497"
19,660GC,Ely,Ely,NV,255,"1,069"
19,660GD,Roosevelt,Roosevelt,UT,768,"3,766"
19,660GE,Orem,Orem,UT,"3,376","18,258"
19,660GG,St. George,St. George,UT,"3,047","18,996"
19,660GI,Nephi,Nephi,UT,547,"1,245"
19,660GJ,Western Salt Lake,West Valley City,UT,"7,686","40,213"
19,666GB,Casper,Casper,WY,"2,661","12,634"
19,666GC,Riverton,Riverton,WY,"2,441","10,685"
19,666GD,Powell,Powell,WY,"1,350","4,869"
19,666GE,Gillette,Gillette,WY,"1,100","5,898"
19,666GF,Rock Springs,Rock Springs,WY,"1,565","8,107"
20,463GA,Fairbanks,Fort Wainwright,AK,"2,384","19,459"
20,463GB,Kenai,Kenai,AK,"1,685","13,678"
20,463GC,Mat-Su,Wasilla,AK,"1,757","9,532"
20,531GE,Twin Falls,Twin Falls,ID,"3,104","14,796"
20,531GG,Canyon County,Caldwell,ID,"3,927","19,841"
20,648A4,Vancouver,Vancouver,WA,"20,722","174,484"
20,648GA,Bend,Bend,OR,"7,032","35,960"
20,648GB,Salem,Salem,OR,"9,122","32,093"
20,648GD,North Coast,Warrenton,OR,"1,567","6,986"
20,648GE,East Metro Portland,Portland,OR,"10,009","36,858"
20,648GF,West Metro Portland,Hillsboro,OR,"17,306","56,002"
20,648GG,West Linn,West Linn,OR,"7,475","24,468"
20,653BY,Eugene,Eugene,OR,"10,188","62,745"
20,653GA,North Bend,North Bend,OR,"2,926","14,966"
20,653GB,Brookings,Brookings,OR,"1,556","6,115"
20,663GA,King County,Bellevue,WA,"9,876","32,630"
20,663GB,Bremerton (Kitsap County),Bremerton,WA,"3,380","12,960"
20,663GC,Mount Vernon,Mount Vernon,WA,"7,522","39,372"
20,663GD,South Sound,Chehalis,WA,"3,419","15,366"
20,668GA,NW Central Washington WA,Wenatchee,WA,"3,181","14,389"
20,668GB,North Idaho,Coeur d'Alene,ID,"3,819","20,922"
20,687GA,Richland WA,Richland,WA,"4,325","28,215"
20,687GB,Lewiston,Lewiston,ID,"3,167","22,779"
20,687GC,La Grande,La Grande,OR,"1,690","12,859"
20,687HA,Yakima,Yakima,WA,"3,910","33,447"
20,692,Southern Oregon Rehabilitation Ctr & Clinics,White City,OR,"16,062","271,590"
20,692GA,Klamath Falls,Klamath Falls,OR,"2,557","16,491"
20,692GB,Grants Pass,Grants Pass,OR,"1,699","6,396"
21,459GA,Maui,Kahului,HI,"2,041","14,385"
21,459GB,Hilo,Hilo,HI,"2,392","18,864"
21,459GC,Kailua-Kona,Kailua-Kona,HI,"1,442","9,552"
21,459GD,Lihue,Lihue,HI,"1,442","12,332"
21,459GE,Guam,Agana Heights,GU,"2,405","17,228"
21,459GF,American Samoa,Pago Pago,AS,833,"6,817"
21,459GG,Leeward Oahu,Ewa Beach,HI,"1,904","7,624"
21,570GA,Merced,Merced,CA,"2,726","15,659"
21,570GB,Tulare,Tulare,CA,"4,661","20,050"
21,570GC,Oakhurst,Oakhurst,CA,"1,249","8,057"
21,612B4,Redding,Redding,CA,"15,187","138,093"
21,612BY,Oakland,Oakland,CA,"8,227","118,329"
21,612GD,Fairfield,Travis AFB,CA,"5,137","29,054"
21,612GE,Vallejo/Mare Island,Mare Island,CA,"6,187","22,456"
21,612GF,Martinez,Martinez,CA,"48,831","281,250"
21,612GG,Chico,Chico,CA,"7,148","54,283"
21,612GH,McClellan,McClellan Park,CA,"20,472","119,669"
21,612GI,Yuba City,Yuba City,CA,"2,262","15,439"
21,640BY,San Jose,San Jose,CA,"11,778","87,425"
21,640GA,Palo Alto HCS- Capitola,Capitola,CA,"1,364","3,228"
21,640GB,Sonora (Tuolumne County),Sonora,CA,"3,491","14,754"
21,640GC,Fremont/East Bay (Alameda County),Fremont,CA,"3,219","13,032"
21,640HA,Stockton,French Camp,CA,"7,540","36,659"
21,640HB,Modesto,Modesto,CA,"8,056","40,903"
21,640HC,Monterey,Seaside,CA,"9,678","73,094"
21,654GA,Sierra Foothills,Auburn,CA,"3,714","23,749"
21,654GB,Carson Valley,Minden,NV,"2,423","10,193"
21,654GC,Lahontan Valley,Fallon,NV,"2,265","14,595"
21,654GD,Diamond View,Susanville,CA,949,"5,443"
21,662GA,Santa Rosa,Santa Rosa,CA,"7,977","58,679"
21,662GC,Eureka,Eureka,CA,"4,687","36,933"
21,662GD,Ukiah,Ukiah,CA,"3,058","26,086"
21,662GE,San Bruno,San Bruno,CA,"1,956","14,957"
21,662GF,San Francisco,San Francisco,CA,"2,790","47,894"
21,662GG,Clearlake,Clearlake,CA,"1,841","17,232"
22,593GC,Pahrump,Pahrump,NV,"2,360","14,093"
22,593GD,PCC Northwest,Las Vegas,NV,"13,106","78,517"
22,593GE,PCC Southeast,Henderson,NV,"10,661","58,609"
22,593GF,PCC Southwest,Las Vegas,NV,"9,620","51,912"
22,593GG,PCC Northeast,Las Vegas,NV,"9,422","48,123"
22,600GA,Anaheim,Anaheim,CA,"3,623","20,173"
22,600GB,Santa Ana,Santa Ana,CA,"4,411","22,007"
22,600GC,Cabrillo (Long Beach),Long Beach,CA,847,"6,143"
22,600GD,Santa Fe Springs/Whittier,Santa Fe Springs,CA,"2,708","8,683"
22,600GE,Laguna Hills,Laguna Hills,CA,"4,518","11,846"
22,605GA,Victorville,Victorville,CA,"5,105","21,958"
22,605GB,Murrieta,Murrieta,CA,"7,760","22,233"
22,605GC,Palm Desert,Palm Desert,CA,"8,616","22,038"
22,605GD,Corona (Riverside County) CA,Corona,CA,"4,103","12,328"
22,605GE,Rancho Cucamonga,Rancho Cucamonga,CA,"5,355","18,792"
22,664BY,Mission Valley,San Diego,CA,"36,069","183,785"
22,664GA,Imperial Valley,El Centro,CA,"1,549","6,464"
22,664GB,Oceanside,Oceanside,CA,"16,412","98,253"
22,664GC,Chula Vista,Chula Vista,CA,"7,611","28,504"
22,664GD,Escondido,Escondido,CA,"4,797","17,429"
22,691A4,Sepulveda,Sepulveda,CA,"33,142","354,399"
22,691GB,Santa Barbara,Santa Barbara,CA,"2,729","19,124"
22,691GC,Gardena,Gardena,CA,"2,949","7,959"
22,691GD,Bakersfield,Bakersfield,CA,"6,769","76,353"
22,691GE,Los Angeles,Los Angeles,CA,"14,036","191,753"
22,691GF,East Los Angeles Clinic,Commerce,CA,"2,041","14,331"
22,691GG,Antelope Valley,Lancaster,CA,"4,082","12,834"
22,691GK,San Luis Obispo,San Luis Obispo,CA,"3,761","18,803"
22,691GL,Santa Maria,Santa Maria,CA,"6,113","39,005"
22,691GM,Port Hueneme (Oxnard),Oxnard,CA,"5,684","20,934"
22,691GN,South Central LA,Lynwood,CA,,
22,691GO,Pasadena,San Gabriel,CA,,
23,437GA,Grafton,Grafton,ND,937,"2,579"
23,437GB,Bismarck ND,Bismarck,ND,"3,689","14,152"
23,437GC,Fergus Falls,Fergus Falls,MN,"1,609","6,331"
23,437GD,Minot,Minot,ND,"2,519","10,604"
23,437GE,Bemidji,Bemidji,MN,"2,765","12,410"
23,437GF,Williston,Williston,ND,"1,073","3,608"
23,437GI,Grand Forks,Grand Forks,ND,"3,092","12,438"
23,438GA,Spirit Lake,Spirit Lake,IA,"2,620","14,837"
23,438GC,Sioux City,Sioux City,IA,"4,425","24,841"
23,438GD,Aberdeen (Brown County),Aberdeen,SD,"2,251","13,691"
23,438GE,Wagner,Wagner,SD,605,"3,388"
23,438GF,Watertown,Watertown,SD,"1,978","11,716"
23,568GA,Rapid City SD,Rapid City,SD,"5,991","31,645"
23,568GB,Pierre,Pierre,SD,"1,428","6,821"
23,568HA,Newcastle,Newcastle,WY,92,222
23,568HB,Gordon,Gordon,NE,199,496
23,568HE,Kyle,Kyle,SD,,
23,568HF,Pine Ridge,Pine Ridge,SD,168,988
23,568HH,Scottsbluff,Scottsbluff,NE,"1,452","6,284"
23,568HJ,Mission,Mission,SD,148,314
23,568HK,McLaughlin,McLaughlin,SD,61,602
23,568HM,Eagle Butte SD,Eagle Butte,SD,283,"1,747"
23,568HP,Winner,Winner,SD,542,"2,702"
23,618BY,Twin Ports,Superior,WI,"6,373","44,091"
23,618GA,South Central,St. James,MN,"3,671","16,080"
23,618GB,Hibbing,Hibbing,MN,"3,457","9,827"
23,618GD,Maplewood (St. Paul),Maplewood,MN,"3,867","11,344"
23,618GE,Chippewa Valley,Chippewa Falls,WI,"4,062","15,473"
23,618GG,Rochester,Rochester,MN,"4,129","14,142"
23,618GH,Hayward,Hayward,WI,"3,539","13,767"
23,618GI,Northwest Metro,Ransey,MN,"7,442","34,495"
23,636A4,Grand Island,Grand Island,NE,"13,144","137,506"
23,636A5,Lincoln,Lincoln,NE,"14,931","148,836"
23,636GA,Norfolk NE,Norfolk,NE,"2,686","11,797"
23,636GB,North Platte,North Platte,NE,"2,511","10,759"
23,636GC,Mason City,Mason City,IA,"4,431","28,350"
23,636GD,Marshalltown,Marshalltown,IA,"1,725","8,927"
23,636GF,Bettendorf,Bettendorf,IA,"8,883","50,275"
23,636GG,Quincy,Quincy,IL,"2,759","9,731"
23,636GH,Waterloo,Waterloo,IA,"4,700","18,915"
23,636GI,Galesburg,Galesburg,IL,"3,562","20,559"
23,636GJ,Dubuque,Dubuque,IA,"4,172","15,156"
23,636GK,Fort Dodge,Fort Dodge,IA,"4,373","14,124"
23,636GL,Bellevue,Bellevue,NE,"2,242","8,588"
23,636GM,Carroll,Carroll,IA,"1,316","5,785"
23,636GN,Cedar Rapids,Cedar Rapids,IA,"4,675","21,346"
23,636GP,Shenandoah,Shenandoah,IA,"1,279","7,375"
23,636GQ,Holdrege,Holdrege,NE,"1,705","7,487"
23,636GR,Knoxville,Knoxville,IA,"2,564","24,555"
23,636GS,Ottumwa,Ottumwa,IA,"1,967","10,308"
23,636GT,Sterling,Sterling,IL,"1,959","9,388"
23,636GU,Decorah,Decorah,IA,"1,181","5,213"
23,656GA,Brainerd,Brainerd,MN,"5,892","36,560"
23,656GB,Montevideo,Montevideo,MN,"2,740","15,060"
23,656GC,Max J. Beilke,Alexandria,MN,"2,531","17,831"
