"VA Community Based Outpatient Clinics (CBOCs), FY2013",,,,,,
VISN,Station Number,Official Station Name,Location/City,State,FY13 Unique Patients,FY13 Clinic Encounters
3,632HC,Islip (formally Bay Shore),Bay Shore,NY,532,"1,832"
3,632HD,Patchoque,Patchogue,NY,"2,617","8,691"
4,460GA,Sussex County (formerly Millsboro),Georgetown,DE,"2,935","20,436"
4,460GC,Kent County (formerly Dover),Dover,DE,"3,241","21,388"
4,460GD,Cape May County,Cape May,NJ,"2,175","6,011"
4,460HE,Atlantic County (formerly Ventnor),Northfield,NJ,"2,491","13,844"
4,460HG,Cumberland County (formerly Vineland),Vineland,NJ,"2,793","13,876"
4,503GA,Johnstown,Johnstown,PA,"4,906","27,285"
4,503GB,DuBois (Clearfield),DuBois,PA,"4,000","19,747"
4,503GC,State College (Centre County),State College,PA,"4,033","17,455"
4,529GA,Mercer County,Hermitage,PA,"2,567","12,347"
4,529GB,Lawrence County,New Castle,PA,"1,933","6,890"
4,529GC,Armstrong County,Ford City,PA,"1,497","3,457"
4,529GD,Clarion County,Foxburg,PA,"1,078","2,661"
4,529GF,Cranberry Township,Cranberry Township,PA,"1,807","5,748"
4,540GA,Tucker County Veterans Center,Parsons,WV,"1,199","4,818"
4,540GB,Wood County Veterans Center,Parkersburg,WV,"3,502","17,662"
4,540GC,Gassaway-Braxton County (Braxton Community Based Outpatient Clinic),Sutton,WV,"1,695","8,131"
4,540GD,Monongalia,Westover,WV,"2,387","12,440"
4,542GA,Springfield,Springfield,PA,"3,715","15,343"
4,542GE,Spring City,Spring City,PA,"2,946","10,288"
4,562GA,Crawford County Primary Care Clinic,Meadville,PA,"2,749","12,734"
4,562GB,Ashtabula County Primary Care Clinic,Ashtabula,OH,"2,333","13,374"
4,562GC,McKean County Primary Care Clinic,Bradford,PA,"1,232","3,586"
4,562GD,Venango,Franklin,PA,"1,970","12,474"
4,562GE,Warren,Warren,PA,"2,139","8,908"
4,595GA,Camp Hill Outpatient Clinic,Camp Hill,PA,"9,093","50,728"
4,595GC,Lancaster,Lancaster,PA,"4,344","18,473"
4,595GD,Reading,Reading,PA,"3,995","14,371"
4,595GE,York County,York,PA,"6,800","34,364"
4,595GF,Pottsville/Frackville,Pottsville,PA,"2,416","5,769"
4,642GA,Outpatient Clinic at Marshall Hall,Lakehurst,NJ,"5,010","26,530"
4,642GC,Victor J. Saracini VA Outpatient Clinic,Horsham,PA,"10,565","32,221"
4,642GD,Gloucester County,Sewell,NJ,"5,688","27,179"
4,642GE,Philadelphia,Philadelphia,PA,,
4,646A4,Heinz Division HCS,Pittsburgh,PA,"22,847","153,017"
4,646GA,Belmont,St. Clairsville,OH,"5,152","18,718"
4,646GB,Westmoreland,Greensburg,PA,"6,971","27,548"
4,646GC,Beaver,Monaca,PA,"4,848","25,046"
4,646GD,Washington County,Washington,PA,"4,735","18,200"
4,646GE,Fayette County,Uniontown,PA,"2,960","17,644"
4,693B4,Allentown,Allentown,PA,"10,419","84,384"
